"","year","CAI","LAI","density","DBH","density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time","WDgrow","WDmort","WDrepr","WDkill"
"1",1,0.0133982608094811,0.0348356813192368,320,1.9700733423233,0,0,2.52233723578467e-42,0.00583420274779201,0.0131297055631876,0.00729549629613757,0.000301210093311965,44650784,799.902893066406,0,144.715728759766,44650668,0.0203689523041248,0.00337376585230231,1.35959589481354,NA,NA,0.00436043925583363,0.000325095985317603,0.00316744903102517,0.00353532913140953,0.00617141090333462,0.00280922674573958,1.16615521907806,0.0162547994405031,0.0631436184048653,0.088383212685585,0.0176326036453247,0.00802635960280895,3.34224787366111e-05,0.00283229886554182,0.000508044555317611,0.00334224803373218,NA,NA,200,0,0.74982088804245,-90.0118942260742,0.086564727127552,NA,3.08117506335741e-38,4.90454462513686e-41,0,-7.76348429987195e-12,1.00000047683716,0.00202586897648871,0.0246647540479898,0.00376212899573147,0.00258063827641308,0,0,1.3534175195673e-05,1.08857822418213,0.00223580398596823,2.80259692864963e-45,0,2.32224368407982e-23
"2",2,0.0170084536075592,0.0394361391663551,618.326110839844,1.34649419784546,0,0,2.52233723578467e-42,0.0130328861996531,0.0179069600999355,0.00487407203763723,0.000927690009120852,44772384,799.943725585938,0,121.375900268555,44772272,0.028452331200242,0.00739559950307012,1.614497423172,NA,NA,0.00929637998342514,0.000563283392693847,0.0027577152941376,0.00375561509281397,0.00614493899047375,0.00593439862132072,1.39301347732544,0.0281641818583012,0.0649170279502869,0.093890368938446,0.0175569672137499,0.0169554185122252,0.000123055709991604,0.00602821772918105,0.0012443260056898,0.0123055707663298,NA,NA,200,0,0.38956606388092,-73.9816207885742,0.108143597841263,NA,0.305590242147446,0.0152795109897852,0.305590242147446,0.0152795109897852,1.99997925758362,0.0025978593621403,0.0272449273616076,0.00024612175184302,0.00322654307819903,0.000726417056284845,0.000404883874580264,1.38178384077037e-05,1.83924353122711,0.00266090221703053,7.22706463420764e-05,0,0
"3",3,0.0221508294343948,0.052020862698555,1073.42163085938,1.06894445419312,0,0,2.52233723578467e-42,0.0126186357811093,0.0201598219573498,0.00754119409248233,0.00183039763942361,41133176,799.962707519531,0,129.120758056641,41133052,0.0345899127423763,0.0120462402701378,2.16413474082947,NA,NA,0.00914642494171858,0.000713361718226224,0.00369274546392262,0.00518982019275427,0.00908055901527405,0.00676700193434954,1.86711084842682,0.0356680825352669,0.0863313898444176,0.129745468497276,0.0259444527328014,0.0193342976272106,0.000268964387942106,0.00974530074745417,0.00203197565861046,0.0268964394927025,NA,NA,200,0,0.737204074859619,-83.4009704589844,0.14180189371109,NA,0.480395436286926,0.0240197815001011,0.480395436286926,0.0240197815001011,2.99995803833008,0.00337637355551124,0.0302569586783648,0.00160009658429772,0.00391887873411179,0.00252998759970069,0.000589447619859129,1.9050930859521e-05,1.72676992416382,0.00307580409571528,9.94366127997637e-05,0,0
"4",4,0.028000483289361,0.0718583688139915,1463.82104492188,1.02006494998932,0,0,2.52233723578467e-42,0.0160831324756145,0.02547368966043,0.00939056184142828,0.00253625074401498,57782996,799.943115234375,0,114.002983093262,57782876,0.0417360588908195,0.01844697073102,2.92664742469788,NA,NA,0.00891788210719824,0.00121026672422886,0.00491007184609771,0.00707297027111053,0.012599197216332,0.00702566932886839,2.51552271842957,0.060513362288475,0.11771622300148,0.176824226975441,0.0359977073967457,0.0200733412057161,0.000448541075456887,0.0149113545194268,0.00308707589283586,0.0448541082441807,NA,NA,200,0,1.02633702754974,-74.1433029174805,0.196295887231827,NA,0.443140745162964,0.0221570357680321,0.443140745162964,0.0221570357680321,3.99993681907654,0.00440845359116793,0.0336638018488884,0.00211437232792377,0.00401441892609,0.0052741402760148,0.000789132667705417,2.58478939940687e-05,1.75010871887207,0.00276908534578979,0.000130940563394688,0,0
"5",5,0.0323322042822838,0.0899811163544655,2164.97534179688,0.894440054893494,0,0,2.52233723578467e-42,0.024709889665246,0.0369691252708435,0.0122592393308878,0.00460389396175742,46136464,799.894287109375,0,123.79313659668,46136340,0.048090748488903,0.0321983247995377,3.52608060836792,NA,NA,0.0104328719899058,0.00159567676018924,0.00625141896307468,0.00874944310635328,0.0137890474870801,0.00727229379117489,3.01934266090393,0.0797838643193245,0.148042768239975,0.218735918402672,0.0393972843885422,0.0207779835909605,0.000773496576584876,0.0236024241894484,0.00782240461558104,0.0773496553301811,NA,NA,200,0,1.60788989067078,-78.4269180297852,0.229418009519577,NA,0.839912116527557,0.0419956296682358,0.839912116527557,0.0419956333935261,5.00000238418579,0.00289815873838961,0.0284647028893232,0.00295833172276616,0.004994947463274,0.00723111256957054,0.000511624035425484,3.21033039654139e-05,1.45592999458313,0.00374439777806401,0.000159082192112692,0,0
"6",6,0.04327742010355,0.122445784509182,2849.45629882812,0.90851241350174,0,0,2.52233723578467e-42,0.0365102291107178,0.0538485310971737,0.0173383038491011,0.00694021582603455,37591944,799.952270507812,0,155.0869140625,37591788,0.0675744190812111,0.0422846227884293,4.54633140563965,NA,NA,0.0172848049551249,0.00314342137426138,0.00759338308125734,0.0120922466740012,0.0185128394514322,0.00894772075116634,3.81404113769531,0.157171040773392,0.194354608654976,0.302305907011032,0.0528938360512257,0.0255649108439684,0.00117484061047435,0.0310511942952871,0.0100585874170065,0.117484055459499,NA,NA,200,0,1.8981831073761,-89.2017288208008,0.319635897874832,NA,1.04157209396362,0.0520786195993423,1.04157209396362,0.0520786195993423,6.00006818771362,0.00362785253673792,0.0311398822814226,0.00306153018027544,0.0072668045759201,0.0103272581472993,0.000766210665460676,4.3535401346162e-05,1.23131430149078,0.00508193811401725,0.000197637069504708,0,0
"7",7,0.052856270223856,0.143312692642212,3878.10229492188,0.837647199630737,0,0,2.52233723578467e-42,0.0332387387752533,0.0519654043018818,0.0187266673892736,0.00867813359946012,57758956,799.968627929688,0,112.754608154297,57758836,0.07768414914608,0.0567355267703533,7.15336132049561,NA,NA,0.0171483661979437,0.00436572497710586,0.00862080324441195,0.0139270983636379,0.0227137431502342,0.0109084136784077,6.26544570922852,0.218286350369453,0.225388869643211,0.348177194595337,0.0648964121937752,0.0311668738722801,0.00164644361939281,0.0417414456605911,0.0133476369082928,0.164644360542297,NA,NA,200,0,3.84467005729675,-80.8106689453125,0.378950357437134,NA,1.56342172622681,0.0781710520386696,1.5634218454361,0.0781710520386696,7.00013399124146,0.00440462166443467,0.0336526334285736,0.00320587586611509,0.00778954336419702,0.0135767161846161,0.00111575215123594,5.001385579817e-05,1.40039193630219,0.00544779980555177,0.00025071285199374,0,0
"8",8,0.0726980194449425,0.195094659924507,5660.8330078125,0.813196301460266,0,0,2.52233723578467e-42,0.0523087307810783,0.0789425298571587,0.0266337934881449,0.011896095238626,45639480,799.790771484375,0,130.335968017578,45639340,0.102012671530247,0.0728196501731873,9.76665687561035,NA,NA,0.0240302942693233,0.0053994283080101,0.0106866583228111,0.0190051086246967,0.0292486529797316,0.0136425253003836,8.60004615783691,0.269971519708633,0.298966020345688,0.475127398967743,0.0835675746202469,0.0389786250889301,0.0022274274379015,0.0535694509744644,0.0170227717608213,0.22274275124073,NA,NA,200,0,4.57066488265991,-86.3097305297852,0.495457738637924,NA,3.27225542068481,0.163612857460976,3.27225542068481,0.163612857460976,8.00019931793213,0.00536622945219278,0.0364184677600861,0.00448418408632278,0.0107817081734538,0.0199478715658188,0.0013650362379849,6.73469403409399e-05,1.26533985137939,0.00693083461374044,0.000307840120512992,0.000230495032155886,0
"9",9,0.0971182882785797,0.263159424066544,7692.70166015625,0.807798385620117,0,0,2.52233723578467e-42,0.0747017413377762,0.111283518373966,0.0365817360579967,0.0144639201462269,47787412,799.93212890625,0,111.69344329834,47787288,0.135939553380013,0.0991306900978088,13.1281862258911,NA,NA,0.0330132693052292,0.00882381200790405,0.0132479434832931,0.0258072894066572,0.0379978567361832,0.0170493796467781,11.4900026321411,0.441190540790558,0.394533723592758,0.645181775093079,0.108565300703049,0.0487124919891357,0.00296008656732738,0.0736011788249016,0.0225694254040718,0.29600864648819,NA,NA,200,0,6.77404308319092,-76.8298034667969,0.655196964740753,NA,3.00478100776672,0.150239124894142,3.00478100776672,0.150239124894142,9.00026512145996,0.00666124699637294,0.0397077836096287,0.00579086784273386,0.0152908712625504,0.0275294780731201,0.00178195489570498,9.04152475413866e-05,1.11500382423401,0.00927681103348732,0.00038359547033906,0,0
"10",10,0.128928750753403,0.331100344657898,11363.0107421875,0.755590736865997,0,0,2.52233723578467e-42,0.0788675472140312,0.122791051864624,0.0439234636723995,0.0212975461035967,42431052,799.9326171875,0,138.999862670898,42430912,0.162300929427147,0.130339249968529,15.7194375991821,NA,NA,0.0355344414710999,0.00999022834002972,0.0160601064562798,0.0324604734778404,0.0473248511552811,0.0209308266639709,13.7216100692749,0.499511301517487,0.491789191961288,0.8115114569664,0.135213866829872,0.0598023422062397,0.00402589980512857,0.0967246517539024,0.0295886937528849,0.402589976787567,NA,NA,200,0,6.62256240844727,-84.2696685791016,0.821389734745026,NA,6.28922700881958,0.314461320638657,6.28922700881958,0.314461290836334,10.0003309249878,0.0079730162397027,0.0426678732037544,0.00675530498847365,0.0168529860675335,0.0387419648468494,0.00264458009041846,0.000113250738650095,1.24196541309357,0.00985142588615417,0.000483505806187168,0.00034159651841037,0
